Ticker,Announced,Expiration,Min Price ($),Max Price,Min Shares,Max Shares ,Min Value ($),Max Value ($),Shares Tendered at Acceptance Price,Total Shares Tendered (not usually given,Price Paid,Shares Purchased
CHIC US,2/20/2008,4/2/2008,18.00,20.00,4.0,4.0,72.0,80.0,9.1,N/A,18.00,4.1
NHWK US,5/8/2008,6/13/2008,7.45,8.05,6.2,6.7,50.0,50.0,2.2,2.2,8.05,2.2
SHO US,6/2/2008,6/27/2008,16.75,19.25,6.2,6.2,103.9,119.4,7.9,N/A,17.50,7.4
URI US,6/10/2008,7/16/2008,22.00,25.00,27.2,27.2,597.5,679.0,72.0,N/A,22.00,27.2
FC US,7/8/2008,8/27/2008,9.00,10.50,2.7,3.1,28.0,28.0,3.1,N/A,9.25,3.0
EXTR US,8/11/2008,9/12/2008,3.30,3.70,27.0,30.3,100.0,100.0,44.9,44.9,3.50,28.6
QSFT US,10/9/2008,12/9/2008,12.50,14.50,9.7,9.7,120.7,140.0,15.6,N/A,12.50,11.4
BIRT US,11/3/2008,12/18/2008,3.00,3.50,17.1,20.0,60.0,60.0,0.0,N/A,3.50,17.1
QSFT US,6/2/2009,6/30/2009,12.50,14.00,10.7,10.7,133.9,150.0,6.9,6.9,14.00,6.9
MAXY US,11/13/2009,12/23/2009,5.30,6.10,6.6,6.6,34.8,40.0,9.4,N/A,5.30,7.3
EFII US,10/29/2009,12/18/2009,11.25,12.75,4.5,4.5,50.6,57.4,8.3,8.3,12.75,5.5
SONO US,1/11/2010,2/19/2010,26.10,30.00,3.3,3.8,100.0,100.0,3.0,3.0,30.00,3.0
VR US,5/7/2010,6/8/2010,24.00,27.50,10.9,12.5,300.0,300.0,13.9,N/A,25.00,12.0
FIS US,5/25/2010,8/3/2010,29.00,31.00,80.6,86.2,"2,500.0","2,500.0",171.5,N/A,29.00,86.2
CASY US,7/28/2010,8/25/2010,38.00,40.00,12.5,13.2,500.0,500.0,26.8,N/A,38.00,13.2
SCHL US,9/23/2010,10/28/2010,27.00,31.00,4.8,5.6,150.0,150.0,7.8,N/A,30.00,5.2
SLGN US,10/8/2010,11/8/2010,31.25,35.25,5.0,5.6,175.0,175.0,5.1,N/A,34.75,5.0
PGI US,10/27/2010,12/3/2010,6.75,7.75,6.5,7.4,50.0,50.0,8.2,N/A,7.25,8.1
